SubID,StimLoc,TMS_effect_actual,TMS_effect_predicted,subject,day1_tms_effect
NODEAP_06,pOFC,0.0833333333333333,-0.1827996617958791,NODEAP_06,-0.42091069999999986
NODEAP_08,pOFC,-0.1666666666666666,-0.1690215698651757,NODEAP_08,1.1845028000000002
NODEAP_09,pOFC,0.2698412698412699,0.0299554426800141,NODEAP_09,-0.5470077999999998
NODEAP_10,pOFC,0.1944444444444444,0.0389261160937707,NODEAP_10,-1.0675854999999999
NODEAP_15,pOFC,0.3333333333333332,0.383015788045699,NODEAP_15,1.8190015000000002
NODEAP_16,pOFC,-0.2777777777777778,-0.0861732239081594,NODEAP_16,0.04893940000000008
NODEAP_24,pOFC,-0.6587301587301587,-0.3929723571713934,NODEAP_24,0.23174830000000002
NODEAP_26,pOFC,0.1388888888888888,0.1228122871402485,NODEAP_26,0.14481659999999996
NODEAP_34,pOFC,-0.2222222222222222,-0.3727076444441365,NODEAP_34,0.27469220000000005
NODEAP_35,pOFC,-0.1666666666666666,-0.0414515280872804,NODEAP_35,0.1616477999999999
NODEAP_36,pOFC,0.3888888888888889,0.0547868049355196,NODEAP_36,2.1756409999999997
NODEAP_44,pOFC,-0.1111111111111111,-0.0654682417428558,NODEAP_44,
NODEAP_59,pOFC,0.0579365079365079,0.0687908876256306,NODEAP_59,2.520755
NODEAP_63,pOFC,0.1666666666666665,0.2554419255320733,NODEAP_63,-0.12746900000000005
NODEAP_64,pOFC,0.1111111111111111,0.041445769187666,NODEAP_64,-0.2247060000000003
NODEAP_65,pOFC,0.4558823529411765,0.3343428065212777,NODEAP_65,0.4099227999999999
NODEAP_70,pOFC,0.3055555555555556,-0.0281728772115753,NODEAP_70,-0.42350390000000004
NODEAP_73,pOFC,-0.1944444444444444,0.0266726523527834,NODEAP_73,0.061887000000000025
NODEAP_74,pOFC,-0.2777777777777777,0.2775120193606301,NODEAP_74,-0.1615544
NODEAP_76,pOFC,0.2420634920634921,0.2612299374791667,NODEAP_76,0.6835744000000004
NODEAP_77,pOFC,-0.477124183006536,-0.1543591575088022,NODEAP_77,1.1315215
NODEAP_79,pOFC,0.1666666666666667,0.1215199768554069,NODEAP_79,0.07167719999999989
NODEAP_83,pOFC,0.7738095238095237,0.3768077823764193,NODEAP_83,0.5886209
NODEAP_07,aOFC,0.4722222222222222,0.2846454585331339,NODEAP_07,-0.14734099999999994
NODEAP_12,aOFC,-0.1111111111111111,-0.0732701076317985,NODEAP_12,-2.4693341
NODEAP_13,aOFC,-0.9166666666666666,-0.5365298323747747,NODEAP_13,1.9510314000000002
NODEAP_30,aOFC,0.7777777777777778,0.5080188054844074,NODEAP_30,
NODEAP_39,aOFC,-0.1111111111111111,-0.0513472509862641,NODEAP_39,1.2275962999999996
NODEAP_41,aOFC,-0.3055555555555554,0.2996145640850762,NODEAP_41,-1.4665834999999998
NODEAP_43,aOFC,-0.0555555555555555,-0.0426256022528894,NODEAP_43,0.993544
NODEAP_45,aOFC,0.8888888888888888,0.6876302948901605,NODEAP_45,0.1504439999999998
NODEAP_46,aOFC,0.2682539682539683,0.4204831958329271,NODEAP_46,0.09156730000000035
NODEAP_48,aOFC,0.2126984126984127,0.0147928886919808,NODEAP_48,-0.7654616000000001
NODEAP_51,aOFC,-0.3142857142857143,0.0216570293688344,NODEAP_51,-0.30102759999999984
NODEAP_53,aOFC,-0.0555555555555554,-0.0574594563379134,NODEAP_53,2.2895646
NODEAP_55,aOFC,0.446078431372549,0.3537377871461501,NODEAP_55,-0.27113929999999975
NODEAP_56,aOFC,0.5,0.2530594482422069,NODEAP_56,1.2299196
NODEAP_60,aOFC,0.0833333333333334,0.0100649160656273,NODEAP_60,0.6287102999999998
NODEAP_66,aOFC,0.111111111111111,-0.0412150182298043,NODEAP_66,1.6720071
NODEAP_68,aOFC,-0.0992063492063492,0.2559069899014697,NODEAP_68,-0.3877056000000001
NODEAP_78,aOFC,-0.0658730158730158,0.1384415522669326,NODEAP_78,-1.8178329
NODEAP_80,aOFC,0.1388888888888889,-0.1245729119997216,NODEAP_80,1.0658497000000002
NODEAP_84,aOFC,-0.2222222222222223,0.0711193607281115,NODEAP_84,0.8995151999999997
NODEAP_85,aOFC,-0.0294117647058823,-0.1444226346925851,NODEAP_85,-0.8956451999999999
NODEAP_86,aOFC,0.0,-0.2213266412186248,NODEAP_86,1.8842147999999996
